token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
1027,GBPUSD26FEBFUT,GBPUSD,25FEB2026,-1.000000,1,FUTCUR,CDS,1000.000000
10281,679GS203426MAR103.5PE,679GS2034,26MAR2026,1035000000.000000,1,OPTIRC,CDS,25000.000000
10283,EURINR25AUG103CE,EURINR,26AUG2025,1030000000.000000,1,OPTCUR,CDS,25000.000000
10294,EURUSD25JUL1.07PE,EURUSD,29JUL2025,10700000.000000,1,OPTCUR,CDS,1000.000000
1031,EURUSD25OCTFUT,EURUSD,29OCT2025,-1.000000,1,FUTCUR,CDS,1000.000000
10344,710GS203426MAR102.25PE,710GS2034,26MAR2026,1022500000.000000,1,OPTIRC,CDS,25000.000000
10355,710GS203426MAR103.75CE,710GS2034,26MAR2026,1037500000.000000,1,OPTIRC,CDS,25000.000000
10373,GBPINR25829115CE,GBPINR,29AUG2025,1150000000.000000,1,OPTCUR,CDS,25000.000000
10377,JPYINR25DEC52.5CE,JPYINR,29DEC2025,525000000.000000,1,OPTCUR,CDS,25000.000000
10378,JPYINR25DEC52.5PE,JPYINR,29DEC2025,525000000.000000,1,OPTCUR,CDS,25000.000000
10407,GBPINR25829115.5CE,GBPINR,29AUG2025,1155000000.000000,1,OPTCUR,CDS,25000.000000
10411,JPYINR25SEP56.5PE,JPYINR,26SEP2025,565000000.000000,1,OPTCUR,CDS,25000.000000
10424,EURUSD25JUL1.08PE,EURUSD,29JUL2025,10800000.000000,1,OPTCUR,CDS,1000.000000
10434,718GS203725JULFUT,718GS2037,31JUL2025,-1.000000,1,FUTIRC,CDS,25000.000000
10462,710GS203426MAR105PE,710GS2034,26MAR2026,1050000000.000000,1,OPTIRC,CDS,25000.000000
10515,710GS203426MAR105.25PE,710GS2034,26MAR2026,1052500000.000000,1,OPTIRC,CDS,25000.000000
10535,JPYINR2572554.75PE,JPYINR,25JUL2025,547500000.000000,1,OPTCUR,CDS,25000.000000
10550,EURUSD25JUL1.085PE,EURUSD,29JUL2025,10850000.000000,1,OPTCUR,CDS,1000.000000
10551,GBPINR25829116.5PE,GBPINR,29AUG2025,1165000000.000000,1,OPTCUR,CDS,25000.000000
10565,710GS203426MAR105.75PE,710GS2034,26MAR2026,1057500000.000000,1,OPTIRC,CDS,25000.000000
10605,EURUSD25JUL1.095CE,EURUSD,29JUL2025,10950000.000000,1,OPTCUR,CDS,1000.000000
10608,EURUSD25JUL1.1PE,EURUSD,29JUL2025,11000000.000000,1,OPTCUR,CDS,1000.000000
10620,GBPINR25829117.5CE,GBPINR,29AUG2025,1175000000.000000,1,OPTCUR,CDS,25000.000000
10660,EURUSD25JUL1.14PE,EURUSD,29JUL2025,11400000.000000,1,OPTCUR,CDS,1000.000000
1074,718GS203725AUGFUT,718GS2037,28AUG2025,-1.000000,1,FUTIRC,CDS,25000.000000
10668,GBPINR25829119.25PE,GBPINR,29AUG2025,1192500000.000000,1,OPTCUR,CDS,25000.000000
10679,GBPINR25829120.25CE,GBPINR,29AUG2025,1202500000.000000,1,OPTCUR,CDS,25000.000000
10741,USDINR2580185.875CE,USDINR,01AUG2025,858750000.000000,1,OPTCUR,CDS,25000.000000
10771,JPYINR2582954.75CE,JPYINR,29AUG2025,547500000.000000,1,OPTCUR,CDS,25000.000000
10838,JPYINR2582957PE,JPYINR,29AUG2025,570000000.000000,1,OPTCUR,CDS,25000.000000
10801,JPYINR2572555.25CE,JPYINR,25JUL2025,552500000.000000,1,OPTCUR,CDS,25000.000000
10851,JPYINR2582957.75PE,JPYINR,29AUG2025,577500000.000000,1,OPTCUR,CDS,25000.000000
10863,JPYINR2582958.5PE,JPYINR,29AUG2025,585000000.000000,1,OPTCUR,CDS,25000.000000
10875,JPYINR2572557.75CE,JPYINR,25JUL2025,577500000.000000,1,OPTCUR,CDS,25000.000000
10883,JPYINR2582959.75CE,JPYINR,29AUG2025,597500000.000000,1,OPTCUR,CDS,25000.000000
10887,JPYINR2582959.75PE,JPYINR,29AUG2025,597500000.000000,1,OPTCUR,CDS,25000.000000
10916,GBPINR25JUL109.5CE,GBPINR,29JUL2025,1095000000.000000,1,OPTCUR,CDS,25000.000000
10918,GBPINR25JUL109.75CE,GBPINR,29JUL2025,1097500000.000000,1,OPTCUR,CDS,25000.000000
10928,JPYINR2572560.25PE,JPYINR,25JUL2025,602500000.000000,1,OPTCUR,CDS,25000.000000
10934,JPYINR2582960.25PE,JPYINR,29AUG2025,602500000.000000,1,OPTCUR,CDS,25000.000000
10946,JPYINR25SEP58PE,JPYINR,26SEP2025,580000000.000000,1,OPTCUR,CDS,25000.000000
10958,JPYINR25SEP59.5PE,JPYINR,26SEP2025,595000000.000000,1,OPTCUR,CDS,25000.000000
10968,JPYINR25SEP60.75PE,JPYINR,26SEP2025,607500000.000000,1,OPTCUR,CDS,25000.000000
10974,JPYINR25SEP61.5CE,JPYINR,26SEP2025,615000000.000000,1,OPTCUR,CDS,25000.000000
10982,JPYINR25SEP61.75PE,JPYINR,26SEP2025,617500000.000000,1,OPTCUR,CDS,25000.000000
