token,symbol
18096,JUBLFOOD-EQ
18151,TVSSCS-EQ
18208,ORIENTLTD-EQ
18252,SPAL-EQ
1835,KANORICHEM-EQ
18341,VPRPL-EQ
18365,PERSISTENT-EQ
18679,HPL-EQ
18822,ENDURANCE-EQ
18977,UNIVASTU-EQ
19126,KIOCL-EQ
19184,SFL-EQ
19196,TI-EQ
19531,BAJAJCON-EQ
19686,BLUEJET-EQ
19705,LIQUIDSBI-EQ
19783,MUFIN-EQ
201,UNIDT-EQ
20071,INTENTECH-EQ
20160,CANTABIL-EQ
20329,CGCL-EQ
20481,WIPL-EQ
20532,AXISGOLD-EQ
20831,MUTHOOTMF-EQ
20874,RBZJEWEL-EQ
20878,MUFTI-EQ
2112,MARALOVER-EQ
21238,AUBANK-EQ
21334,JYOTICNC-EQ
21406,AVADHSUGAR-EQ
21478,UTINEXT50-EQ
2176,AKG-EQ
21794,DAVANGERE-EQ
21957,INDTERRAIN-EQ
220,IEX-EQ
22365,ITIETF-EQ
22377,MAXHEALTH-EQ
10159,ORICONENT-EQ
10238,CONFIPET-EQ
22521,NIF5GETF-EQ
10297,PPL-EQ
22592,HEALTHADD-EQ
10350,CSLFINANCE-EQ
1038,FINCABLES-EQ
2263,BANDHANBNK-EQ
10397,JISLJALEQS-EQ
10406,STEELCITY-EQ
22649,PARKHOTELS-EQ
10457,ARVSMART-EQ
10576,NIFTYBEES-EQ
22832,SMALLCAP-EQ
10578,MPSLTD-EQ
2289,HLEGLAS-EQ
2294,MTNL-EQ
22901,GOLDCASE-EQ
2306,BESTAGRO-EQ
23043,RKSWAMY-EQ
2319,NCC-EQ
23184,MOREALTY-EQ
2328,CPSEETF-EQ
23402,SRM-EQ
10726,INDIAMART-EQ
10830,MOQLTYINAV-EQ
10922,OMAXAUTO-EQ
11027,INFOBEAN-EQ
11072,AGRITECH-EQ
11140,SUMIT-EQ
2435,CONSUMBEES-EQ
24226,STANLEY-EQ
24409,DHANUKA-EQ
24595,RUSHIL-EQ
24715,AKUMS-EQ
24742,CEIGALL-EQ
25178,TDPOWERSYS-EQ
25222,SANOFICONR-EQ
25252,KROSS-EQ
25258,EBANKNIFTY-EQ
25718,POLYMED-EQ
25724,RUPA-EQ
25744,METAL-EQ
263,ATUL-EQ
2711,PRECOT-EQ
27161,CINELINE-EQ
19299,ITDC-EQ
1949,KSB-EQ
19458,PLAZACABLE-EQ
1964,TRENT-EQ
19556,BHANDARI-EQ
19597,IRMENERGY-EQ
19795,CELLO-EQ
19867,AMNPLST-EQ
19913,DMART-EQ
2004,AHLADA-EQ
19943,DEEPAKNTR-EQ
20242,OBEROIRLTY-EQ
2028,LYKALABS-EQ
20321,SHANKARA-EQ
2048,INDIGOPNTS-EQ
20616,SUPERHOUSE-EQ
20822,SURAJEST-EQ
20950,RKDL-EQ
2107,STOVEKRAFT-EQ
2124,MASTEK-EQ
21275,SUMMITSEC-EQ
21362,SALASAR-EQ
11162,HARSHA-EQ
2142,MFSL-EQ
11223,UCOBANK-EQ
11253,WELSPUNLIV-EQ
21383,PALASHSECU-EQ
21401,TATAGOLD-EQ
21428,TATSILV-EQ
21551,SMSLIFE-EQ
11364,VAIBHAVGBL-EQ
11377,MAHABANK-EQ
11403,POONAWALLA-EQ
11445,PILANIINVS-EQ
21840,DIAMONDYD-EQ
11591,HDFCNIFTY-EQ
1164,NEWGEN-EQ
1181,GODFRYPHLP-EQ
1185,AMBER-EQ
11884,MANINDS-EQ
11919,MSPL-EQ
12022,AURIONPRO-EQ
12026,RENUKA-EQ
12034,BASML-EQ
21986,BANKBETF-EQ
12716,TEAMLEASE-EQ
13,ABB-EQ
13086,AIAENG-EQ
13147,PVRINOX-EQ
13192,ENIL-EQ
22233,DHUNINV-EQ
13197,GSPL-EQ
13211,JAGRAN-EQ
13236,SADBHAV-EQ
22433,HDFCNIFBAN-EQ
22440,UTIBANKETF-EQ
22477,NOVAAGRI-EQ
22524,NIF10GETF-EQ
22717,ENTERO-EQ
22739,MON100-EQ
2307,MUNJALSHOW-EQ
23621,JNKINDIA-EQ
23650,MUTHOOTFIN-EQ
23799,GODIGIT-EQ
23806,ABSLPSE-EQ
2412,PEL-EQ
24154,DEEDEV-EQ
100,ARE&M-EQ
10300,RAMASTEEL-EQ
10343,RADHIKAJWE-EQ
1044,AXISBNKETF-EQ
10407,KSHITIJPOL-EQ
10440,LUPIN-EQ
10485,RAMRAT-EQ
10512,CONS-EQ
10515,UTISENSETF-EQ
10634,ASAL-EQ
10717,TIMESGTY-EQ
1076,ZENSARTECH-EQ
1085,GABRIEL-EQ
10939,JUNIORBEES-EQ
11006,LIQUIDBEES-EQ
11032,SANGINITA-EQ
11155,CREATIVE-EQ
1127,GHCL-EQ
11260,HDFCVALUE-EQ
11293,UNIENTER-EQ
11309,BALAXI-EQ
11386,PVTBANIETF-EQ
11483,LT-EQ
11491,APARINDS-EQ
11496,AMBICAAGAR-EQ
11547,HDFCLOWVOL-EQ
11581,GULFPETRO-EQ
11626,WELENT-EQ
1168,GMBREW-EQ
1174,GNFC-EQ
11782,EVEREADY-EQ
11809,IIFL-EQ
11842,CYBERMEDIA-EQ
11971,GOLDIAM-EQ
11999,FCSSOFT-EQ
12000,FAZE3Q-EQ
12009,IMPAL-EQ
24461,EVINDIA-EQ
12018,SUZLON-EQ
24538,MAITHANALL-EQ
