type,entry_date,exit_date,entry_price,exit_price,pnl,percent
SELL,2023-06-14 15:03:00,2023-06-14 15:15:00,18760.75,18759.85,0.9000000000014552,0.004797249576916995
SELL,2023-06-14 15:04:00,2023-06-14 15:15:00,18755.95,18759.85,-3.899999999997817,-0.020793401560559806
BUY,2023-06-15 09:21:00,2023-06-15 15:15:00,18742.2,18685.25,-56.95000000000073,-0.3038597389847548
SELL,2023-06-15 10:27:00,2023-06-15 15:15:00,18791.05,18685.25,105.79999999999927,0.5630339975679872
BUY,2023-06-15 10:40:00,2023-06-15 15:15:00,18785.65,18685.25,-100.40000000000146,-0.534450498119583
BUY,2023-06-15 11:05:00,2023-06-15 15:15:00,18778.15,18685.25,-92.90000000000146,-0.49472392115305
BUY,2023-06-15 11:18:00,2023-06-15 15:15:00,18756.6,18685.25,-71.34999999999854,-0.3803994327330036
BUY,2023-06-15 11:37:00,2023-06-15 15:15:00,18722.7,18685.25,-37.45000000000073,-0.2000245691059555
SELL,2023-06-15 12:27:00,2023-06-15 15:15:00,18736.85,18685.25,51.599999999998545,0.27539314239052215
SELL,2023-06-15 12:28:00,2023-06-15 15:15:00,18733.6,18685.25,48.349999999998545,0.25809241149591405
BUY,2023-06-15 12:45:00,2023-06-15 15:15:00,18730.9,18685.25,-45.650000000001455,-0.243714930942995
SELL,2023-06-15 15:12:00,2023-06-15 15:15:00,18686.4,18685.25,1.1500000000014552,0.006154208408261918
SELL,2023-06-16 09:19:00,2023-06-16 15:15:00,18744.75,18823.35,-78.59999999999854,-0.4193174088744771
BUY,2023-06-16 11:10:00,2023-06-16 15:15:00,18762.3,18823.35,61.04999999999927,0.32538654642554093
BUY,2023-06-16 11:28:00,2023-06-16 15:15:00,18754.0,18823.35,69.34999999999854,0.3697877786072227
BUY,2023-06-16 12:35:00,2023-06-16 15:15:00,18755.45,18823.35,67.89999999999782,0.3620281038311414
BUY,2023-06-16 12:41:00,2023-06-16 15:15:00,18749.75,18823.35,73.59999999999854,0.39253856718088803
SELL,2023-06-16 13:29:00,2023-06-16 15:15:00,18762.25,18823.35,-61.099999999998545,-0.325653906114664
BUY,2023-06-16 13:56:00,2023-06-16 15:15:00,18761.65,18823.35,61.69999999999709,0.32886233353674693
BUY,2023-06-16 13:57:00,2023-06-16 15:15:00,18762.55,18823.35,60.79999999999927,0.32404976935437496
SELL,2023-06-16 14:54:00,2023-06-16 15:15:00,18845.45,18823.35,22.100000000002183,0.11726968578623584
SELL,2023-06-19 09:21:00,2023-06-19 15:15:00,18870.5,18759.4,111.09999999999854,0.5887496356747227
BUY,2023-06-19 09:54:00,2023-06-19 15:15:00,18838.6,18759.4,-79.19999999999709,-0.42041340651639236
BUY,2023-06-19 10:08:00,2023-06-19 15:15:00,18825.25,18759.4,-65.84999999999854,-0.3497961514455242
BUY,2023-06-19 10:38:00,2023-06-19 15:15:00,18798.6,18759.4,-39.19999999999709,-0.20852616684219621
BUY,2023-06-19 11:40:00,2023-06-19 15:15:00,18776.2,18759.4,-16.799999999999272,-0.08947497363683424
BUY,2023-06-19 11:52:00,2023-06-19 15:15:00,18772.25,18759.4,-12.849999999998545,-0.06845210350383435
SELL,2023-06-19 12:09:00,2023-06-19 15:15:00,18774.05,18759.4,14.649999999997817,0.07803324269402616
