symbol,token
ADSL-EQ,14813
IFBIND-EQ,1485
ALPA-EQ,14848
CERA-EQ,15039
KOLTEPATIL-EQ,15124
JYOTHYLAB-EQ,15146
KALYANIFRG-EQ,15156
HITECHCORP-EQ,15161
BRIGADE-EQ,15184
CEATLTD-EQ,15254
VIRINCHI-EQ,15295
BANG-EQ,15303
SEPC-EQ,15308
ACL-EQ,15420
FAIRCHEMOR-EQ,1614
IOC-EQ,1624
INFIBEAM-EQ,16249
ARE&M-EQ,100
DPWIRES-EQ,16900
PAKKA-EQ,17197
JBCHEPHARM-EQ,1726
ARMANFIN-EQ,17263
AJMERA-EQ,17307
MHRIL-EQ,17333
NV20IETF-EQ,17475
NHPC-EQ,17400
EXPLEOSOL-EQ,17486
JINDALPOLY-EQ,1756
MGL-EQ,17534
ALOKINDS-EQ,17675
MIDSELIETF-EQ,17702
NIITMTS-EQ,17747
AHLUCONT-EQ,17833
BEARDSELL-EQ,17933
SBICARD-EQ,17971
CONCORDBIO-EQ,18060
SBFC-EQ,18026
ARENTERP-EQ,181
NIFTY1-EQ,18102
KECL-EQ,18220
SANDUMA-EQ,18359
FACT-EQ,1008
NDGL-EQ,18371
AURUM-EQ,10310
SHAREINDIA-EQ,104
FINPIPE-EQ,1041
SIGNATURE-EQ,18743
KALAMANDIR-EQ,18755
MOHEALTH-EQ,10508
VBL-EQ,18921
NIFTYBEES-EQ,10576
MARKSANS-EQ,10579
KAPSTON-EQ,18967
MVGJL-EQ,19015
TCI-EQ,10580
MOM30IETF-EQ,10585
ARVIND-EQ,193
MOQUALITY-EQ,10822
LAURUSLABS-EQ,19234
GENESYS-EQ,10905
RADICO-EQ,10990
UGARSUGAR-EQ,19578
PRICOLLTD-EQ,19631
SHRENIK-EQ,11149
AXISILVER-EQ,11193
TRENT-EQ,1964
JSL-EQ,11236
WELSPUNLIV-EQ,11253
LMW-EQ,1979
ESAFSFB-EQ,19878
MUKANDLTD-EQ,11325
APOLLO-EQ,1134
ORISSAMINE-EQ,19931
PETRONET-EQ,11351
TTKHLTCARE-EQ,11369
MAHABANK-EQ,11377
AHLADA-EQ,2004
INTENTECH-EQ,20071
NIITLTD-EQ,11522
COFORGE-EQ,11543
HDFCLOWVOL-EQ,11547
UNIDT-EQ,201
LUMAXIND-EQ,2018
AKSHARCHEM-EQ,20178
ESILVER-EQ,20257
RESPONIND-EQ,20323
GMBREW-EQ,1168
LINCOLN-EQ,11596
PATELENG-EQ,11699
CONSOFINVT-EQ,11731
GNFC-EQ,1174
AMBER-EQ,1185
SHOPERSTOP-EQ,11813
SHAHALLOYS-EQ,11856
GUJALKALI-EQ,1267
KANSAINER-EQ,1196
MSPL-EQ,11919
BIKAJI-EQ,11966
RENUKA-EQ,12026
ABB-EQ,13
RUSTOMJEE-EQ,12219
GREAVESCOT-EQ,1235
QUICKHEAL-EQ,13116
JKCEMENT-EQ,13270
GALLANTT-EQ,13337
HEG-EQ,1336
KFINTECH-EQ,13359
FINIETF-EQ,12578
ACLGATI-EQ,13688
VISHWARAJ-EQ,13702
FIEMIND-EQ,13710
DCBBANK-EQ,13725
TORNTPOWER-EQ,13786
GREENPANEL-EQ,13810
PARACABLES-EQ,13951
ABSLBANETF-EQ,13987
IZMO-EQ,14174
BANSWRAS-EQ,14511
AROGRANITE-EQ,14557
BFUTILITIE-EQ,14567
ACCURACY-EQ,1465
NAGREEKEXP-EQ,14702
V2RETAIL-EQ,14766
SPARC-EQ,14788
OMAXE-EQ,14853
CIEINDIA-EQ,14937
NAGREEKCAP-EQ,14942
MOTILALOFS-EQ,14947
MAGNUM-EQ,14957
SHIVAMILLS-EQ,1497
CSBBANK-EQ,14966
DELTACORP-EQ,15044
MANAKSIA-EQ,15199
JKIL-EQ,15266
ONMOBILE-EQ,15278
AARON-EQ,1030
RAIN-EQ,15337
GILLETTE-EQ,1576
ARVSMART-EQ,10457
SATIN-EQ,10453
GODHA-EQ,1607
POWERMECH-EQ,10473
EBBETF0430-EQ,16253
UFLEX-EQ,1053
LINDEINDIA-EQ,1627
OFSS-EQ,10738
BAGFILMS-EQ,11226
NSIL-EQ,11239
DREDGECORP-EQ,11271
GVT&D-EQ,16783
IKIO-EQ,16822
LUXIND-EQ,11301
TIPSFILMS-EQ,11374
PVTBANIETF-EQ,11386
TOUCHWOOD-EQ,16908
GICHSGFIN-EQ,1139
BANKBEES-EQ,11439
PILANIINVS-EQ,11445
MAWANASUG-EQ,17022
CENTEXT-EQ,11511
HDFCMOMENT-EQ,11538
DCI-EQ,11566
NEWGEN-EQ,1164
SALSTEEL-EQ,11634
SHRIPISTON-EQ,17186
XCHANGING-EQ,11705
HPIL-EQ,11796
NH-EQ,11840
LLOYDSME-EQ,17313
DCXINDIA-EQ,11895
GOLDIAM-EQ,11971
AEROENTER-EQ,12015
FIVESTAR-EQ,12032
PSUBANKADD-EQ,17616
DLINKINDIA-EQ,17851
JSWENERGY-EQ,17869
GODREJPROP-EQ,17875
MMTC-EQ,17957
GFLLIMITED-EQ,1289
ADVENZYMES-EQ,18039
CELEBRITY-EQ,13162
PERSISTENT-EQ,18365
KEI-EQ,13310
LOKESHMACH-EQ,13436
BALPHARMA-EQ,13441
PFOCUS-EQ,13496
LTTS-EQ,18564
KIRLOSBROS-EQ,18581
ACE-EQ,13587
JHS-EQ,13720
GTLINFRA-EQ,13745
PNBHOUSING-EQ,18908
MANALIPETC-EQ,13796
SUNDARAM-EQ,18931
KINGFA-EQ,18944
SILLYMONKS-EQ,19097
CREST-EQ,13900
SANGHVIMOV-EQ,14058
TI-EQ,19196
BLISSGVS-EQ,19265
IGPL-EQ,14086
THEJO-EQ,19279
PTL-EQ,14101
PLAZACABLE-EQ,19458
BAJAJCON-EQ,19531
MAXESTATES-EQ,19646
LIQUIDSBI-EQ,19705
FORTIS-EQ,14592
DEEPAKNTR-EQ,19943
INFRABEES-EQ,20072
TASTYBITE-EQ,20092
GREENPOWER-EQ,20110
011NSETEST-EQ,14747
081NSETEST-EQ,14767
WABAG-EQ,20188
URJA-EQ,20203
M&M-EQ,2031
KSCL-EQ,14972
INDIGOPNTS-EQ,2048
INDHOTEL-EQ,1512
ARIES-EQ,15204
GRAVITA-EQ,20534
DOMS-EQ,20551
IRB-EQ,15313
SUPERHOUSE-EQ,20616
TARC-EQ,1581
MGEL-EQ,1593
BHAGYANGR-EQ,20776
BHARATWIRE-EQ,16123
SURAJEST-EQ,20822
SUNDROP-EQ,1663
VAISHALI-EQ,16589
PTCIL-EQ,16682
RKDL-EQ,20950
ZFCVINDIA-EQ,16915
HMAAGRO-EQ,17053
JAYBARMARU-EQ,1708
ERIS-EQ,21154
GTPL-EQ,21195
DIGIDRIVE-EQ,21247
LOWVOLIETF-EQ,21254
NEXT50-EQ,17181
JYOTICNC-EQ,21334
BANKETF-EQ,17419
GANGESSECU-EQ,21399
AMRUTANJAN-EQ,17547
SUNTECK-EQ,17641
ASTEC-EQ,17728
OPTIEMUS-EQ,21469
LTIM-EQ,17818
DBCORP-EQ,17881
DIXON-EQ,21690
AWHCL-EQ,1797
GEEKAYWIRE-EQ,17922
JYOTISTRUC-EQ,1802
MBLINFRA-EQ,18029
DBL-EQ,18086
VASCONEQ-EQ,18110
JIOFIN-EQ,18143
TVSSCS-EQ,18151
LORDSCHLO-EQ,18232
PYRAMID-EQ,18250
KARURVYSYA-EQ,1838
DIACABS-EQ,18543
EMSLIMITED-EQ,18593
SAMHI-EQ,18614
RAJRATAN-EQ,18962
MANAPPURAM-EQ,19061
KIOCL-EQ,19126
MCL-EQ,22360
KOPRAN-EQ,1919
UMESLTD-EQ,19142
SFL-EQ,19184
KOTAKBANK-EQ,1922
TCIEXP-EQ,19223
KSB-EQ,1949
SIGNPOST-EQ,22656
PRAKASHSTL-EQ,19599
LICNMID100-EQ,22722
SMALLCAP-EQ,22832
LGHL-EQ,19876
EGOLD-EQ,19933
GOLDCASE-EQ,22901
CPCAP-EQ,20086
RKSWAMY-EQ,23043
CANTABIL-EQ,20160
CLEDUCATE-EQ,20223
LYKALABS-EQ,2028
TATATECH-EQ,20293
FLAIR-EQ,20372
AMBUJACEM-EQ,1270
TEAMLEASE-EQ,12716
181NSETEST-EQ,23447
BHARTIHEXA-EQ,23489
TARACHAND-EQ,23512
AIIL-EQ,23553
SADBHAV-EQ,13236
HEROMOTOCO-EQ,1348
NAVNETEDUL-EQ,2385
NECCLTD-EQ,13522
ANDHRSUGAR-EQ,136
ELECON-EQ,13643
FLUOROCHEM-EQ,13750
DONEAR-EQ,13839
MMFL-EQ,13844
BANCOINDIA-EQ,13880
HINDUNILVR-EQ,1394
BBNPNBETF-EQ,24117
VADILALIND-EQ,24196
IVZINNIFTY-EQ,24217
STANLEY-EQ,24226
SAGCEM-EQ,14068
VSTTILLERS-EQ,24292
SBISILVER-EQ,24366
NOCIL-EQ,2442
TIMKEN-EQ,14198
RELIABLE-EQ,24378
ABGSEC-EQ,24404
PGIL-EQ,14260
ORIENTBELL-EQ,14278
FSL-EQ,14304
TFL-EQ,14319
HSCL-EQ,14334
APOLLOPIPE-EQ,14361
EMBDL-EQ,14450
DIVGIITTS-EQ,14479
PSUBNKIETF-EQ,14584
HGS-EQ,14712
031NSETEST-EQ,14753
041NSETEST-EQ,14755
151NSETEST-EQ,14782
