symbol,token
VRLLOG-EQ,8696
BLUESTARCO-EQ,8311
PRIVISCL-EQ,8825
AVROIND-EQ,8827
INDOAMIN-EQ,9116
MITCON-EQ,8469
INDOBORAX-EQ,8614
ESCORTS-EQ,958
TNIDETF-EQ,8882
VENUSPIPES-EQ,9592
VERANDA-EQ,8890
AIRAN-EQ,9897
TIPSMUSIC-EQ,9117
TPLPLASTEH-EQ,9219
CAMPUS-EQ,9362
RVNL-EQ,9552
DELHIVERY-EQ,9599
NEOGEN-EQ,9917
SNXT30BEES-EQ,757455
ATHERENERG-EQ,757645
SILVERIETF-EQ,7942
MAHLIFE-EQ,8050
AWL-EQ,8110
SPENCERS-EQ,8163
BANKA-EQ,822
PRITI-EQ,8304
GSEC5IETF-EQ,8342
XELPMOC-EQ,8477
DHAMPURSUG-EQ,857
AKSHOPTFBR-EQ,8591
EICHERMOT-EQ,910
ELDEHSG-EQ,8953
HARIOMPIPE-EQ,8968
UMIYA-MRO-EQ,8998
EIHOTEL-EQ,919
NILAINFRA-EQ,9253
ORCHPHARMA-EQ,926
RAINBOW-EQ,9408
SKIPPER-EQ,9428
POLYCAB-EQ,9590
VIKASLIFE-EQ,9931
EUROTEXIND-EQ,999
MOTOUR-EQ,757443
ARISINFRA-EQ,757614
CGPOWER-EQ,760
CMSINFO-EQ,7603
AVANTIFEED-EQ,7936
BSHSL-EQ,809
CROWN-EQ,8083
DEVIT-EQ,8146
MEGASTAR-EQ,8153
MOMOMENTUM-EQ,8182
VETO-EQ,8652
USHAMART-EQ,8840
AGROPHOS-EQ,9046
ROTO-EQ,9049
PIXTRANS-EQ,9087
EIDPARRY-EQ,916
DPABHUSHAN-EQ,936
STLTECH-EQ,9309
PRUDENT-EQ,9553
SMARTLINK-EQ,9889
ALANKIT-EQ,9921
PICCADIL-EQ,757754
KALPATARU-EQ,758558
INTERNET-EQ,758595
MONARCH-EQ,7679
DALMIASUG-EQ,781
INOXWIND-EQ,7852
ALEMBICLTD-EQ,79
ZYDUSLIFE-EQ,7929
SILVER-EQ,8003
MANYAVAR-EQ,8167
TVSMOTOR-EQ,8479
CHALET-EQ,8546
MUKTAARTS-EQ,8687
SHAILY-EQ,8727
PNBGILTS-EQ,8736
RITCO-EQ,8944
ANUP-EQ,9014
ELECTCAST-EQ,928
PGHL-EQ,940
LICI-EQ,9480
MAHESHWARI-EQ,9576
ETHOSLTD-EQ,9750
EPL-EQ,981
WEWIN-EQ,9862
CHEVIOT-EQ,9879
TOP15IETF-EQ,757781
ELLEN-EQ,758563
IMAGICAA-EQ,7672
DABUR-EQ,772
FIBERWEB-EQ,8159
NLCINDIA-EQ,8585
LOWVOL1-EQ,8632
MOLOWVOL-EQ,8654
SONAMLTD-EQ,8806
ARVINDFASN-EQ,9111
ELGIEQUIP-EQ,937
KRITIKA-EQ,9288
IOB-EQ,9348
SILVERTUC-EQ,9422
METROPOLIS-EQ,9581
PARADEEP-EQ,9741
AETHER-EQ,9810
NV20BEES-EQ,9847
NEXTMEDIA-EQ,9867
